eng_title,jap_title,score,found
Grand Blue Dreaming,ぐらんぶる,100.0,true
Goodnight Punpun,おやすみプンプン,100.0,true
Land of the Lustrous,宝石の国,100.0,true
Yotsuba&!,よつばと!,100.0,true
GTO: Great Teacher Onizuka,GTO,94.33962264150944,true
March Comes in Like a Lion,3月のライオン,100.0,true
A Silent Voice,聲の形,100.0,true
The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,100.0,true
The Climber,孤高の人,100.0,true
Yona of the Dawn,暁のヨナ,100.0,true
Girls' Last Tour,少女終末旅行,100.0,true
Medalist,メダリスト,100.0,true
Dorohedoro,ドロヘドロ,100.0,true
