eng_title,jap_title,score
Berserk,ベルセルク,100.0
20th Century Boys,20世紀少年,100.0
Grand Blue Dreaming,ぐらんぶる,100.0
Goodnight Punpun,おやすみプンプン,100.0
Land of the Lustrous,宝石の国,100.0
GTO: Great Teacher Onizuka,GTO,94.33962264150944
March Comes in Like a Lion,3月のライオン,100.0
A Silent Voice,聲の形,100.0
The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,100.0
The Climber,孤高の人,100.0
Girls' Last Tour,少女終末旅行,100.0
Medalist,メダリスト,100.0
Dorohedoro,ドロヘドロ,100.0
Yotsuba&!,よつばと!,100.0
Yona of the Dawn,暁のヨナ,100.0
Vinland Saga,ヴィンランド・サガ,100.0
Veil,Veil,100.0
Vagabond,バガボンド,100.0
Uchuu Kyoudai,宇宙兄弟,100.0
Slam Dunk,SLAM DUNK,100.0
Real,リアル,100.0
One Piece,ONE PIECE,100.0
Nana,NANA,100.0
Mushishi,蟲師,100.0
Monster,MONSTER,100.0
Made in Abyss,メイドインアビス,100.0
Kono Oto Tomare!,この音とまれ！,100.0
Kingdom,キングダム,100.0
Hunter x Hunter,HUNTER×HUNTER,100.0
Hajime no Ippo,はじめの一歩,100.0
Fullmetal Alchemist,鋼の錬金術師,100.0
Death Note,DEATH NOTE,100.0
Chainsaw Man,チェンソーマン,100.0
Kaguya-sama: Love is War,かぐや様は告らせたい,75.0
Frieren: Beyond Journey's End,葬送のフリーレン,93.10344827586206
Nausica of the Valley of the Wind,風の谷のナウシカ,100.0
Akira,AKIRA,100.0
Natsume's Book of Friends,夏目友人帳,92.0
Witch Hat Atelier,とんがり帽子のアトリエ,100.0
One Punch-Man,ワンパンマン,92.3076923076923
The Apothecary Diaries,薬屋のひとりごと,100.0
Bloom Into You,やがて君になる,100.0
"Goodbye, Eri",さよなら絵梨,95.65217391304348
ReLIFE,ReLIFE,100.0
Golden Kamuy,ゴールデンカムイ,100.0
Lone Wolf and Cub,子連れ狼,100.0
Ao Ashi,アオアシ,100.0
Pluto,PLUTO,100.0
Aria,ARIA,100.0
Mob Psycho 100,モブサイコ100,100.0
Blue Period,ブルーピリオド,100.0
Banana Fish,BANANA FISH,100.0
Skip and Loafer,スキップとローファー,100.0
Your Lie in April,四月は君の嘘,100.0
Neon Genesis Evangelion,新世紀エヴァンゲリオン,100.0
Chihayafuru,ちはやふる,100.0
A Bride's Story,乙嫁語り,93.33333333333333
The Fable,ザ・ファブル,100.0
Attack on Titan,進撃の巨人,100.0
Tokyo Ghoul,東京喰種,100.0
Phoenix,火の鳥,100.0
Kamisama Kiss,神様はじめました,100.0
Rurouni Kenshin,るろうに剣心,100.0
Ping Pong,ピンポン,100.0
One Outs,ONE OUTS,100.0
Sasaki and Miyano,佐々木と宮野,100.0
Hirayasumi,ひらやすみ,100.0
Ouran High School Host Club,桜蘭高校ホスト部,100.0
Gundam: The Origin,機動戦士ガンダム THE ORIGIN,72.34042553191489
Given,ギヴン,100.0
Blue Giant,BLUE GIANT,100.0
Bakemonogatari,化物語,100.0
A Sign of Affection,ゆびさきと恋々,100.0
I Want to Eat Your Pancreas,君の膵臓をたべたい,100.0
Spirit Circle,スピリットサークル,100.0
Bungou Stray Dogs,文豪ストレイドッグス,96.96969696969697
Shimeji Simulation,シメジ シミュレーション,100.0
Spy x Family,SPY×FAMILY,100.0
Uma Musume Cinderella Gray,ウマ娘 シンデレラグレイ,98.0
The Case Study of Vanitas,ヴァニタスの手記,100.0
Hinamatsuri,ヒナまつり,100.0
Our Dreams at Dusk,しまなみ誰そ彼,100.0
Eyeshield 21,アイシールド21,100.0
The World God Only Knows,神のみぞ知るセカイ,100.0
Spice and Wolf,狼と香辛料,84.61538461538461
Rainbow,RAINBOW 二舎六房の七人,100.0
Dandadan,ダンダダン,100.0
Moriarty the Patriot,憂国のモリアーティ,100.0
Dragon Ball,ドラゴンボール,100.0
Doraemon,ドラえもん,100.0
Holyland,ホーリーランド,100.0
Barakamon,ばらかもん,100.0
Look Back,ルックバック,100.0
Blade of the Immortal,無限の住人,100.0
Black Butler,黒執事,100.0
Horimiya,ホリミヤ,100.0
Insomniacs After School,君は放課後インソムニア,100.0
Nodame Cantabile,のだめカンタービレ,100.0
Basara,BASARA,100.0
Masturbation Master Kurosawa,オナニーマスター黒沢,73.46938775510203
Innocent Rouge,イノサン Rouge,100.0
Your Name,君の名は。,94.73684210526316
Battle Angel Alita,銃夢 GUNNM,100.0
Maid Sama!,会長はメイド様!,84.21052631578947
Nichijou,日常,100.0
Alice in Borderland,今際の国のアリス,100.0
Tomodachi Game,トモダチゲーム,100.0
That Time I Got Reincarnated as a Slime,転生したらスライムだった件,100.0
xxxHOLiC,xxxHOLiC,100.0
Azumanga Daioh,あずまんが大王,100.0
Cardcaptor Sakura,カードキャプターさくら,100.0
Parasyte,寄生獣,100.0
SKET Dance,SKET DANCE,100.0
Bakuman,BAKUMAN。,100.0
I Had That Same Dream Again,また、同じ夢を見ていた,100.0
Erased,僕だけがいない街,100.0
Welcome to the Ballroom,ボールルームへようこそ,100.0
The Rose of Versailles,ベルサイユのばら,100.0
Zatch Bell!,金色のガッシュ!!,95.23809523809523
Shadows House,シャドーハウス,100.0
Wotakoi: Love is Hard for Otaku,ヲタクに恋は難しい,96.7741935483871
The Saga of Tanya the Evil,幼女戦記,100.0
The Ancient Magus' Bride,魔法使いの嫁,97.0
Silver Spoon,銀の匙 Silver Spoon,100.0
The Girl From the Other Side,とつくにの少女,78.87323943661973
Lovely Complex,ラブ★コン,84.84848484848484
Gakuen Alice,学園アリス,100.0
Forest of Piano,ピアノの森,100.0
