Rank,English Title,Japanese Title,Link
1,Berserk,ベルセルク,https://myanimelist.net/manga/2/Berserk
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
3,Vagabond,バガボンド,https://myanimelist.net/manga/656/Vagabond
4,One Piece,ONE PIECE,https://myanimelist.net/manga/13/One_Piece
5,Monster,MONSTER,https://myanimelist.net/manga/1/Monster
6,Vinland Saga,ヴィンランド・サガ,https://myanimelist.net/manga/642/Vinland_Saga
7,Slam Dunk,SLAM DUNK,https://myanimelist.net/manga/51/Slam_Dunk
8,Fullmetal Alchemist,鋼の錬金術師,https://myanimelist.net/manga/25/Fullmetal_Alchemist
9,Grand Blue,ぐらんぶる,https://myanimelist.net/manga/70345/Grand_Blue
10,Kingdom,キングダム,https://myanimelist.net/manga/16765/Kingdom
11,Oyasumi Punpun,おやすみプンプン,https://myanimelist.net/manga/4632/Oyasumi_Punpun
12,Houseki no Kuni,宝石の国,https://myanimelist.net/manga/44489/Houseki_no_Kuni
13,Real,リアル,https://myanimelist.net/manga/657/Real
14,20th Century Boys,20世紀少年,https://myanimelist.net/manga/3/20th_Century_Boys
15,Ashita no Joe,あしたのジョー,https://myanimelist.net/manga/1303/Ashita_no_Joe
16,Yotsuba to!,よつばと!,https://myanimelist.net/manga/104/Yotsuba_to
17,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch
18,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
19,GTO,GTO,https://myanimelist.net/manga/336/GTO
20,Haikyuu!!,ハイキュー!!,https://myanimelist.net/manga/35243/Haikyuu
21,3-gatsu no Lion,3月のライオン,https://myanimelist.net/manga/1224/3-gatsu_no_Lion
22,Sousou no Frieren,葬送のフリーレン,https://myanimelist.net/manga/126287/Sousou_no_Frieren
23,Koe no Katachi,聲の形,https://myanimelist.net/manga/56805/Koe_no_Katachi
24,Kaoru Hana wa Rin to Saku,薫る花は凛と咲く,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku
25,Kokou no Hito,孤高の人,https://myanimelist.net/manga/7375/Kokou_no_Hito
26,Akatsuki no Yona,暁のヨナ,https://myanimelist.net/manga/21525/Akatsuki_no_Yona
27,Nana,NANA,https://myanimelist.net/manga/28/Nana
28,Kaze no Tani no NausicaÃ¤,風の谷のナウシカ,https://myanimelist.net/manga/651/Kaze_no_Tani_no_NausicaÃ¤
29,Dungeon Meshi,ダンジョン飯,https://myanimelist.net/manga/85781/Dungeon_Meshi
