Rank,English Title,Japanese Title,MAL Link
1,Berserk,ベルセルク,https://myanimelist.net/manga/2/Berserk
2,JoJo Part 7: Steel Ball Run,ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
3,Vagabond,バガボンド,https://myanimelist.net/manga/656/Vagabond
4,One Piece,ONE PIECE,https://myanimelist.net/manga/13/One_Piece
5,Monster,MONSTER,https://myanimelist.net/manga/1/Monster
6,Vinland Saga,ヴィンランド・サガ,https://myanimelist.net/manga/642/Vinland_Saga
7,Slam Dunk,SLAM DUNK,https://myanimelist.net/manga/51/Slam_Dunk
8,Fullmetal Alchemist,鋼の錬金術師,https://myanimelist.net/manga/25/Fullmetal_Alchemist
9,Grand Blue Dreaming,ぐらんぶる,https://myanimelist.net/manga/70345/Grand_Blue
10,Kingdom,キングダム,https://myanimelist.net/manga/16765/Kingdom
11,Goodnight Punpun,おやすみプンプン,https://myanimelist.net/manga/4632/Oyasumi_Punpun
12,Land of the Lustrous,宝石の国,https://myanimelist.net/manga/44489/Houseki_no_Kuni
13,Real,リアル,https://myanimelist.net/manga/657/Real
14,20th Century Boys,20世紀少年,https://myanimelist.net/manga/3/20th_Century_Boys
15,Ashita no Joe,あしたのジョー,https://myanimelist.net/manga/1303/Ashita_no_Joe
16,Yotsuba&!,よつばと!,https://myanimelist.net/manga/104/Yotsuba_to
17,Kaguya-sama: Love is War,かぐや様は告らせたい,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai
18,GTO: Great Teacher Onizuka,GTO,https://myanimelist.net/manga/336/GTO
19,Haikyuu!!,ハイキュー!!,https://myanimelist.net/manga/35243/Haikyuu
20,March Comes in Like a Lion,3月のライオン,https://myanimelist.net/manga/1224/3-gatsu_no_Lion
21,Frieren: Beyond Journey's End,葬送のフリーレン,https://myanimelist.net/manga/126287/Sousou_no_Frieren
22,A Silent Voice,聲の形,https://myanimelist.net/manga/56805/Koe_no_Katachi
23,The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku
24,The Climber,孤高の人,https://myanimelist.net/manga/7375/Kokou_no_Hito
25,Yona of the Dawn,暁のヨナ,https://myanimelist.net/manga/21525/Akatsuki_no_Yona
26,Nana,NANA,https://myanimelist.net/manga/28/Nana
27,Nausicaä of the Valley of the Wind,風の谷のナウシカ,https://myanimelist.net/manga/651/Kaze_no_Tani_no_NausicaÃ¤
28,Dungeon Meshi,ダンジョン飯,https://myanimelist.net/manga/85781/Dungeon_Meshi
29,Three Days of Happiness,寿命を買い取ってもらった,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta
30,Hunter x Hunter,HUNTER×HUNTER,https://myanimelist.net/manga/26/Hunter_x_Hunter
31,Hajime no Ippo,はじめの一歩,https://myanimelist.net/manga/7/Hajime_no_Ippo
32,Space Brothers,宇宙兄弟,https://myanimelist.net/manga/14483/Uchuu_Kyoudai
33,Veil,Veil,https://myanimelist.net/manga/132678/Veil
34,Made in Abyss,メイドインアビス,https://myanimelist.net/manga/91941/Made_in_Abyss
35,Girls' Last Tour,少女終末旅行,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
36,One Punch-Man,ワンパンマン,https://myanimelist.net/manga/44347/One_Punch-Man
37,Kono Oto Tomare!: Sounds of Life,この音とまれ！,https://myanimelist.net/manga/45143/Kono_Oto_Tomare
38,Mushishi,蟲師,https://myanimelist.net/manga/418/Mushishi
39,Death Note,DEATH NOTE,https://myanimelist.net/manga/21/Death_Note
40,Beck,BECK,https://myanimelist.net/manga/145/Beck
41,Chainsaw Man,チェンソーマン,https://myanimelist.net/manga/116778/Chainsaw_Man
42,Medalist,メダリスト,https://myanimelist.net/manga/129621/Medalist
43,Dorohedoro,ドロヘドロ,https://myanimelist.net/manga/1133/Dorohedoro
44,Akira,AKIRA,https://myanimelist.net/manga/664/Akira
45,Natsume's Book of Friends,夏目友人帳,https://myanimelist.net/manga/1859/Natsume_Yuujinchou
46,Witch Hat Atelier,とんがり帽子のアトリエ,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier
47,The Apothecary Diaries,薬屋のひとりごと,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto
48,Yokohama Shopping Log,ヨコハマ買い出し紀行,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou
49,Bloom Into You,やがて君になる,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru
50,"Goodbye, Eri",さよなら絵梨,https://myanimelist.net/manga/145863/Sayonara_Eri
51,ReLIFE,ReLIFE,https://myanimelist.net/manga/78523/ReLIFE
52,Golden Kamuy,ゴールデンカムイ,https://myanimelist.net/manga/85968/Golden_Kamuy
53,Gintama,銀魂,https://myanimelist.net/manga/44/Gintama
54,Lone Wolf and Cub,子連れ狼,https://myanimelist.net/manga/904/Kozure_Ookami
55,Ao Ashi,アオアシ,https://myanimelist.net/manga/102256/Ao_Ashi
56,Pluto,PLUTO,https://myanimelist.net/manga/745/Pluto
57,Aria,ARIA,https://myanimelist.net/manga/81/Aria
58,The Lie Eater,嘘喰い,https://myanimelist.net/manga/9982/Usogui
59,Mob Psycho 100,モブサイコ100,https://myanimelist.net/manga/60783/Mob_Psycho_100
60,Blue Period,ブルーピリオド,https://myanimelist.net/manga/107931/Blue_Period
61,Banana Fish,BANANA FISH,https://myanimelist.net/manga/756/Banana_Fish
62,Skip and Loafer,スキップとローファー,https://myanimelist.net/manga/118289/Skip_to_Loafer
63,Your Lie in April,四月は君の嘘,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso
64,Neon Genesis Evangelion,新世紀エヴァンゲリオン,https://myanimelist.net/manga/698/Shinseiki_Evangelion
65,JoJo Part 4: Diamond is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4
66,Chihayafuru,ちはやふる,https://myanimelist.net/manga/13245/Chihayafuru
67,Pandora Hearts,PandoraHearts,https://myanimelist.net/manga/3031/Pandora_Hearts
68,A Bride's Story,乙嫁語り,https://myanimelist.net/manga/11514/Otoyomegatari
69,The Fable,ザ・ファブル,https://myanimelist.net/manga/87844/The_Fable
70,Ace of Diamond Act II,ダイヤのA act II,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II
71,Toilet-Bound Hanako-kun,地縛少年花子くん,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun
72,Skip Beat!,スキップ・ビート!,https://myanimelist.net/manga/610/Skip_Beat
73,Billy Bat,BILLY BAT,https://myanimelist.net/manga/11054/Billy_Bat
74,Attack on Titan,進撃の巨人,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
75,Tokyo Ghoul,東京喰種,https://myanimelist.net/manga/33327/Tokyo_Ghoul
76,Phoenix,火の鳥,https://myanimelist.net/manga/1325/Hi_no_Tori_1967
77,Kamisama Kiss,神様はじめました,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
78,Rurouni Kenshin,るろうに剣心,https://myanimelist.net/manga/22/Rurouni_Kenshin
79,Fruits Basket,フルーツバスケット,https://myanimelist.net/manga/102/Fruits_Basket
80,Ping Pong,ピンポン,https://myanimelist.net/manga/5744/Ping_Pong
81,One Outs,ONE OUTS,https://myanimelist.net/manga/11327/One_Outs
82,Sasaki and Miyano,佐々木と宮野,https://myanimelist.net/manga/101396/Sasaki_to_Miyano
83,Hirayasumi,ひらやすみ,https://myanimelist.net/manga/137303/Hirayasumi
84,Ouran High School Host Club,桜蘭高校ホスト部,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club
85,Gundam: The Origin,機動戦士ガンダム THE ORIGIN,https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin
86,Blank Canvas,かくかくしかじか,https://myanimelist.net/manga/44307/Kakukaku_Shikajika
87,Kids on the Slope,坂道のアポロン,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon
88,Given,ギヴン,https://myanimelist.net/manga/79085/Given
